Item_id,Picture,Number_in_stock,Price,Description
Wii Sports,Wii.jfif,82,40,Nintendo
Super Mario Bros.,NES.jfif,40,20,Nintendo
Mario Kart Wii,Wii.jfif,35,40,Nintendo
Wii Sports Resort,Wii.jfif,33,40,Nintendo
Pokemon Red/Pokemon Blue,GB.jfif,31,20,Nintendo
Tetris,GB.jfif,30,20,Nintendo
New Super Mario Bros.,DS.jfif,30,40,Nintendo
Wii Play,Wii.jfif,29,40,Nintendo
New Super Mario Bros. Wii,Wii.jfif,28,40,Nintendo
Duck Hunt,NES.jfif,28,20,Nintendo
Nintendogs,DS.jfif,24,40,Nintendo
Mario Kart DS,DS.jfif,23,40,Nintendo
Pokemon Gold/Pokemon Silver,GB.jfif,23,20,Nintendo
Wii Fit,Wii.jfif,22,40,Nintendo
Wii Fit Plus,Wii.jfif,22,40,Nintendo
Kinect Adventures!,X360.jfif,21,40,Microsoft Game Studios
Grand Theft Auto V,PS3.jfif,21,50,Take-Two Interactive
Grand Theft Auto: San Andreas,PS2.jfif,20,40,Take-Two Interactive
Super Mario World,SNES.jfif,20,20,Nintendo
Brain Age: Train Your Brain in Minutes a Day,DS.jfif,20,40,Nintendo
Pokemon Diamond/Pokemon Pearl,DS.jfif,18,40,Nintendo
Super Mario Land,GB.jfif,18,20,Nintendo
Super Mario Bros. 3,NES.jfif,17,20,Nintendo
Grand Theft Auto V,X360.jfif,16,50,Take-Two Interactive
Grand Theft Auto: Vice City,PS2.jfif,16,40,Take-Two Interactive
Pokemon Ruby/Pokemon Sapphire,GBA.jfif,15,40,Nintendo
Pokemon Black/Pokemon White,DS.jfif,15,40,Nintendo
Brain Age 2: More Training in Minutes a Day,DS.jfif,15,40,Nintendo
Gran Turismo 3: A-Spec,PS2.jfif,14,40,Sony Computer Entertainment
Call of Duty: Modern Warfare 3,X360.jfif,14,50,Activision
Pokémon Yellow: Special Pikachu Edition,GB.jfif,14,20,Nintendo
Call of Duty: Black Ops,X360.jfif,14,40,Activision
Pokemon X/Pokemon Y,3DS.jfif,14,50,Nintendo
Call of Duty: Black Ops 3,PS4.jfif,14,50,Activision
Call of Duty: Black Ops II,PS3.jfif,14,50,Activision
Call of Duty: Black Ops II,X360.jfif,13,50,Activision
Call of Duty: Modern Warfare 2,X360.jfif,13,40,Activision
Call of Duty: Modern Warfare 3,PS3.jfif,13,50,Activision
Grand Theft Auto III,PS2.jfif,13,40,Take-Two Interactive
Super Smash Bros. Brawl,Wii.jfif,13,40,Nintendo
Call of Duty: Black Ops,PS3.jfif,12,40,Activision
Animal Crossing: Wild World,DS.jfif,12,40,Nintendo
Mario Kart 7,3DS.jfif,12,50,Nintendo
Halo 3,X360.jfif,12,40,Microsoft Game Studios
